group,reading,freq,source
𓀀,=ꞽ,8559,AES+Ramses
𓀀,ꞽ,196,Ramses
𓀀,wꞽ,62,AES+Ramses
𓀀,=ṯ,36,AES+Ramses
𓀀,=k,14,AES+Ramses
𓀀,=f,13,AES+Ramses
𓀀,s,9,AES+Ramses
𓀀,rmṯ,3,AES
𓀀,=s,2,AES+Ramses
𓀀,mn.t,2,AES+Ramses
𓀀,=ṯn,1,AES
𓀀,mn,1,AES
𓀀,r,1,AES
𓀀,wꜥ,1,AES
𓀀,ḫnms,1,AES
𓀀,ꞽri,1,AES
𓀀,1,1,Ramses
𓀀,=w,1,Ramses
𓀀,=wꞽ,1,Ramses
𓀀,ḥmsꞽ.t,1,Ramses
𓀀,ꞽn-ṯꜣw,1,Ramses
𓀀𓀀,=ꞽ,4,AES
𓀀𓀀,sn.w,1,AES
𓀀𓀀𓀀,s,1,AES
𓀀𓀀𓀀,ḫmt.w,1,AES
𓀀𓀀𓀀𓎟,rmṯ-nb,1,AES
𓀀𓀎󼶫𓏫,mšꜥ,1,Ramses
𓀀𓁐,rmṯ,4,AES
𓀀𓁐𓎟,rmṯ.w-nb,1,AES
𓀀𓁐𓏥,rmṯ,5,AES+Ramses
𓀀𓁐𓏥,rmṯ.w,3,Ramses
𓀀𓁐𓏥𓊖𓏏𓏤𓀀𓁐𓏥,nꜥ.tꞽw,1,AES
𓀀𓁐𓏪,rmṯ,4,AES
𓀀𓅆,=ꞽ,21,AES+Ramses
𓀀𓅭,sꜣ,188,Ramses
𓀀𓆑,=f,3,AES
𓀀𓇋,=ꞽ,2,AES
𓀀𓈒𓈒𓈒,=ꞽ,1,Ramses
𓀀𓊃𓏤,s,1,Ramses
𓀀𓋔,=ꞽ,1,AES
𓀀𓋷𓄿𓈖,sꞽꜣ,1,AES
𓀀𓎟,nb,4,Ramses
𓀀𓎟,rmṯ-nb,1,AES
𓀀𓎢,=k,4,AES+Ramses
𓀀𓏏𓁐𓏥,rmṯ.w,2,Ramses
𓀀𓏏𓁐𓏥𓏏𓏲,rmṯ.w,1,Ramses
𓀀𓏤,=ꞽ,4,AES+Ramses
𓀀𓏥,wšb,13,Ramses
𓀀𓏥,=w,7,Ramses
𓀀𓏥,s,3,Ramses
𓀀𓏥,=ꞽ,1,AES
𓀀𓏥,rmṯ,1,AES
𓀀𓏥,rmṯ.w,1,Ramses
𓀀𓏥𓀎𓀀𓏪,mšꜥ,1,AES
𓀀𓏥𓁷𓏤𓎟𓀀𓁐𓏥,ḥr-nb,1,Ramses
𓀀𓏦,rmṯ,1,AES
𓀀𓏪,s,1,AES
𓀀𓏫,=ꞽ,6,Ramses
𓀀𓏯􄾽,=ꞽ,1,Ramses
𓀀𓏲,wꞽ,1,AES
𓀀􄾽,=ꞽ,3,Ramses
𓀀􅻑,=ꞽ,1,Ramses
𓀀􎝛𓏥,rmṯ,1,AES
𓀁,swr,164,AES
𓀁,sḫꜣw,80,Ramses
𓀁,sḫꜣ,24,Ramses
𓀁,=ꞽ,15,AES+Ramses
𓀁,=k,2,AES+Ramses
𓀁,nꞽs,1,AES
𓀁𓀀𓏥,ꜥš,1,Ramses
𓀁𓈗,swr,1,Ramses
𓀁𓏤,=ꞽ,1,AES
𓀁𓏥,w,1,Ramses
𓀁𓏪,swr,1,AES
𓀁𓏫,sḫꜣ,4,Ramses
𓀄𓂋𓈖𓎡𓆑,ꞽmn-rn.f,1,Ramses
𓀅,ꞽmn,1,AES
𓀅𓂝,ꞽmn-ꜥ,3,AES
𓀅𓏏𓆇𓅆,ꞽmn.t,1,Ramses
𓀅𓏛𓏥,ꞽmn,1,AES
𓀆,wꜥb,11,AES
𓀆,sꜣṯ,2,AES
𓀆,wꜥb-nswt,1,AES
𓀆𓀀𓏪,wꜥb,2,AES
𓀆𓃀,wꜥb,1,AES
𓀆𓃀𓋴𓅱𓈛𓏏𓊖,grg.t-wꜥb-sw,1,AES
𓀆𓅱𓀀𓏥,wꜥb,1,AES
𓀆𓈒𓈒𓈒,wꜥb.w,1,Ramses
𓀆𓈖𓏏𓊢𓅱𓇳,wꜥb.t-n.t-ꜥḥꜥ.w,1,AES
𓀆𓈗𓍘𓇋,wꜥb,1,AES
𓀆𓋴𓌂𓐍𓏏􋊫,wꜥb-šḫm.t,1,AES
𓀆𓍢𓍢,wꜥb-200,1,AES
𓀆𓎰,sꜣṯ,1,AES
𓀆𓏏,wꜥb,2,AES
𓀆𓏏𓏪,wꜥb.t,1,AES
𓀆𓏥,wꜥb,1,AES
𓀆𓏧,wꜥb,1,AES
𓀆𓏪,wꜥb,1,AES
𓀆􇩴,mw,1,AES
𓀇,wꜥb,3,AES
𓀇𓏪,wꜥb,1,AES
𓀉,wrḏ,1,AES
𓀉,wrḏ.w,1,AES
𓀉,gnn,1,Ramses
𓀉𓅪,wrd,1,Ramses
𓀊,hnw,1,Ramses
𓀋,ꜣṯp,11,Ramses
𓀋,fꜣꞽ.t,5,AES+Ramses
𓀋,kꜣ.t,4,AES+Ramses
𓀋,fꜣ,1,Ramses
𓀋𓀜,fꜣꞽ.t,6,Ramses
𓀋𓀜,ꜣṯp,3,AES+Ramses
𓀋𓀜,ꜣṯpw,2,Ramses
𓀋𓀜,fꜣi,1,AES
𓀋𓀜,fꜣꞽ,1,Ramses
𓀋𓀜𓊌,ꜣṯpw,1,Ramses
𓀋𓀜𓏥,fꜣꞽ.t,1,Ramses
𓀋𓂝,fꜣi,1,AES
