sign,gardiner,codepoint,function,value,meaning,group,qualifier,source_note
𓏲,Z7,U+133F2,phonogram,w,,,,project supplement
𓏥,Z2,U+133E5,typographic,,plural strokes,,,project supplement
𓏪,Z3,U+133EA,typographic,,plural strokes,,,project supplement
𓏫,Z3A,U+133EB,typographic,,plural strokes,,,project supplement
𓎢,V31A,U+133A2,phonogram,k,,,,project supplement
𓈗,N35A,U+13217,phonogram,mw,,,,project supplement
𓈗,N35A,U+13217,determinative,,water,,,project supplement
𓇿,N17,U+131FF,logogram,tꜣ,land,,,project supplement
𓇿,N17,U+131FF,determinative,,land,,,project supplement
𓏱,Z6,U+133F1,determinative,,"death, enemy",,,project supplement
𓌻,U7,U+1333B,phonogram,mr,,,,project supplement
𓐝,Aa15,U+1341D,phonogram,m,,,,project supplement
𓁻,D6,U+1307B,determinative,,actions of the eye,,,project supplement
